episode,return_sum,return_mean,reward_a0,reward_a1,reward_a2,steps,msgs_per_ep,msg_entropy_ep,seed,K_vocab
27,-125.59700812389316,-41.865669374631054,-41.865669374631054,-41.865669374631054,-41.865669374631054,50,0,0.0,1,4
28,-154.49838340391682,-51.49946113463894,-51.49946113463894,-51.49946113463894,-51.49946113463894,50,0,0.0,1,4
29,-111.36761992688795,-37.12253997562932,-37.12253997562932,-37.12253997562932,-37.12253997562932,50,0,0.0,1,4
30,-199.44603613595052,-66.48201204531685,-66.48201204531685,-66.48201204531685,-66.48201204531685,50,0,0.0,1,4
31,-142.03585015137878,-47.345283383792925,-47.34528338379293,-47.34528338379293,-47.34528338379293,50,0,0.0,1,4
32,-149.14072423092213,-49.71357474364071,-49.71357474364071,-49.71357474364071,-49.71357474364071,50,0,0.0,1,4
33,-124.33684046211675,-41.44561348737225,-41.44561348737225,-41.44561348737225,-41.44561348737225,50,0,0.0,1,4
34,-141.00732782152866,-47.00244260717622,-47.00244260717622,-47.00244260717622,-47.00244260717622,50,0,0.0,1,4
35,-125.9174417172741,-41.9724805724247,-40.9724805724247,-42.47248057242471,-42.47248057242471,50,0,0.0,1,4
36,-176.77766109409603,-58.92588703136534,-59.09255369803201,-58.59255369803201,-59.09255369803201,50,0,0.0,1,4
37,-124.34738718402969,-41.44912906134323,-41.44912906134323,-41.44912906134323,-41.44912906134323,50,0,0.0,1,4
38,-135.75762008990907,-45.25254002996969,-45.25254002996969,-45.25254002996969,-45.25254002996969,50,0,0.0,1,4
39,-230.51412611063097,-76.83804203687698,-76.83804203687698,-76.83804203687698,-76.83804203687698,50,0,0.0,1,4
40,-125.7073404717137,-41.90244682390457,-41.90244682390457,-41.90244682390457,-41.90244682390457,50,0,0.0,1,4
41,-155.62350923371108,-51.87450307790369,-52.87450307790369,-52.87450307790369,-49.8745030779037,50,0,0.0,1,4
42,-151.83246564430922,-50.61082188143641,-50.61082188143641,-50.61082188143641,-50.61082188143641,50,0,0.0,1,4
43,-231.343682997851,-77.11456099928367,-77.11456099928367,-77.11456099928367,-77.11456099928367,50,0,0.0,1,4
44,-88.23760561867925,-29.41253520622642,-27.91253520622642,-29.41253520622642,-30.912535206226416,50,0,0.0,1,4
45,-129.39192706633875,-43.13064235544625,-43.29730902211292,-42.79730902211292,-43.29730902211292,50,0,0.0,1,4
46,-127.32751844196214,-42.44250614732072,-42.44250614732072,-42.44250614732072,-42.44250614732072,50,0,0.0,1,4
47,-166.35106207493777,-55.450354024979255,-55.11702069164592,-56.11702069164592,-55.11702069164592,50,0,0.0,1,4
48,-164.56010661513653,-54.85336887171218,-55.02003553837884,-55.02003553837884,-54.52003553837884,50,0,0.0,1,4
49,-177.83817221993243,-59.27939073997748,-60.11272407331081,-60.11272407331081,-57.61272407331081,50,0,0.0,1,4
50,-180.9698418132953,-60.323280604431766,-60.323280604431766,-60.323280604431766,-60.323280604431766,50,0,0.0,1,4
51,-89.9231855433652,-29.97439518112173,-29.97439518112173,-29.97439518112173,-29.97439518112173,50,0,0.0,1,4
52,-176.26641666702062,-58.75547222234021,-58.92213888900688,-58.42213888900688,-58.92213888900688,50,0,0.0,1,4
53,-195.5344347873282,-65.1781449291094,-64.84481159577606,-65.34481159577606,-65.34481159577606,50,0,0.0,1,4
